"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "TypeScript", "Swift", "HTML", "JavaScript", "PostCSS", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop\unsynced\updated_shop.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop\unsynced\updated_shop.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop_class.dart", "Dart", 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, -4, -94
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop_logos\temp_shop_logos.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop_logos\temp_shop_logos.g.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 8, 51
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop_owner\shop_owner.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop_owner\shop_owner.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_sub_payment\temp_sub_payment_class.dart", "Dart", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 4, 49
"c:\MAIN FLUTTER\stockall\lib\classes\temp_user_class.dart", "Dart", 0, 0, 0, 0, -84, 0, 0, 0, 0, 0, 0, 0, 0, -19, -103
"c:\MAIN FLUTTER\stockall\lib\classes\temp_user_class.g.dart", "Dart", 0, 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, -4, -8, -75
"c:\MAIN FLUTTER\stockall\lib\classes\user_and_shop_data.dart", "Dart", 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -3, -10
"c:\MAIN FLUTTER\stockall\lib\classes\user_and_shop_data\user_and_shop_data.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\MAIN FLUTTER\stockall\lib\classes\user_class\temp_user_class.dart", "Dart", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 20, 112
"c:\MAIN FLUTTER\stockall\lib\classes\user_class\temp_user_class.g.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 4, 8, 78
"c:\MAIN FLUTTER\stockall\lib\components\alert_dialogues\confirmation_alert.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\MAIN FLUTTER\stockall\lib\components\alert_dialogues\dialog_template.dart", "Dart", 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 1, 5, 208
